product_code;country;mde_value;operator
9012100;FR;11167490;10612
4061050;LT;8240674;10865
4061050;DE;7449780;8999
3054100;PL;6428782;7036
4059010;ES;6139464;3993
4063031;BE;5611802;9076
4069099;CZ;5150039;226
4072100;PL;4965944;1108
3054100;LT;4963260;9282
3054100;LT;4855870;2641
3054100;PL;4691064;6313
2031211;DK;4145496;2788
4061050;ES;4131198;9076
2031211;DE;4078018;3876
4069074;NL;3814165;1151
3021400;DK;3745548;1304
4032093;DE;3637994;6376
3021400;SE;3503283;6313
4069001;CZ;3352919;9270
2031955;DE;3297716;5540
3048700;NL;3198948;1739
4069023;DE;3090872;10865
4061050;DE;3058052;101
2012050;FR;2985377;1419
2012050;FR;2974603;964
4051019;BE;2911687;175
1022999;FR;2910993;3638
8044000;NL;2905243;6708
4012099;FR;2770320;10345
3021400;SE;2696608;5651
4061050;DK;2693654;10865
2071310;DE;2663842;10864
4015039;DE;2663253;2744
4061030;DE;2641169;134
4069001;CZ;2640189;226
4021019;FR;2588370;192
4012011;FR;2568256;1050
4021019;DE;2495158;192
2031211;DE;2408743;4726
2031211;DE;2343946;1589
1022999;FR;2326601;1558
1022999;FR;2304105;476
2012050;FR;2217539;3207
1022999;FR;2208716;4908
4069089;DE;2206839;9270
4069076;DE;2195631;8292
4061030;DE;2150683;8292
3061799;ES;2127350;7922
2031110;BE;2088579;3155
8021290;ES;2069853;8209
3021400;SE;2043459;4286
2031211;ES;2036303;1589
1022999;FR;2001768;1730
2071410;HU;1985256;1472
4061080;DE;1976930;6517
4069013;DE;1970685;10865
4081981;PL;1911141;4222
9012100;DE;1882821;1204
2031211;DK;1851466;1589
1022999;FR;1842749;833
3054100;PL;1824473;9878
2012050;PL;1816612;1419
4012099;SI;1806848;7667
3021400;SE;1794646;8382
3021400;SE;1789335;5840
2031211;ES;1759351;2788
4069023;DE;1739148;5966
4022118;DE;1736933;9947
4059010;BE;1732927;175
2012050;FR;1731511;3409
3028410;HR;1716206;8149
3061799;ES;1710500;6517
4069086;LT;1692461;10865
1051119;DE;1678105;8697
7102100;BE;1670025;9256
3021400;SE;1656026;5886
2031211;DE;1655945;2788
4021019;IE;1649592;192
1022999;FR;1649194;3269
4039093;FR;1644394;10306
4061050;DE;1640838;134
4049083;FR;1639164;326
2031211;DK;1601410;7093
4069084;FR;1583033;6567
4032099;DE;1580025;6376
4069001;DE;1572193;8999
4011010;FR;1556122;1050
3048100;SE;1550844;8382
4022118;FR;1541069;192
2013000;IE;1538557;10865
1022991;SI;1519926;2519
4061050;DE;1516923;9076
3054100;FR;1514736;8909
2101981;DE;1502176;4598
2031211;ES;1499986;3155
4022118;NL;1499305;770
2031955;DE;1498301;8382
9012100;DE;1496903;251
8021290;ES;1480459;9331
4061050;DE;1477168;4598
4012099;DE;1473165;8999
4059010;DE;1463129;10865
4061030;DE;1458091;9256
4069073;CZ;1451984;226
4069086;LT;1435339;4895
4021019;FR;1431870;512
2031211;DK;1425385;1036
2031955;ES;1424676;5540
4069023;DE;1424118;4598
4061050;DE;1416652;2357
4032011;GR;1413354;369
4061080;DE;1409910;4598
4012091;FR;1394938;1050
4021019;DE;1394710;10865
4072100;RO;1383129;1108
3061799;ES;1377832;4942
2031211;AT;1375286;4726
4015039;DE;1368317;770
4061050;DE;1360887;7746
4063031;DE;1358105;4650
4063010;HU;1326820;10345
8021290;ES;1324246;1168
4061030;BE;1323685;2514
2031211;NL;1315994;4726
4069069;PL;1306928;609
2012020;PL;1305751;10865
2012050;NL;1299250;8382
4069032;GR;1296759;6879
1022999;FR;1273394;4173
2031955;DE;1260568;5203
1022999;FR;1258588;6736
8025100;GR;1253631;7811
4061030;DE;1252978;4598
9012100;FR;1252698;35
4061030;SI;1251470;9407
9012200;FR;1249979;10612
3021400;SE;1249466;9999
3021400;SE;1237446;10568
3073110;ES;1235644;19
3044100;PL;1230999;6313
4022118;DE;1227978;192
8025100;BE;1203335;995
1022999;FR;1179796;4731
3048700;ES;1173905;1126
4061030;DE;1170353;10865
2072740;PL;1170235;5017
2031211;DK;1169743;7623
3021400;SE;1168327;7763
2031110;DE;1157120;10865
3021400;SE;1154383;10035
9012100;FR;1132971;1204
4015039;DE;1131399;10865
1022999;FR;1126808;381
4012099;SI;1117659;520
2031211;DK;1109482;8165
4061050;DE;1105060;2559
4069013;FR;1100361;2626
1022999;FR;1099762;1029
1022999;FR;1096860;338
3021400;SE;1095500;3549
4089980;PL;1089260;6532
4059010;NL;1083880;770
4081981;NL;1080857;1108
2031110;DE;1078893;5305
4049023;FR;1078853;326
8025100;DE;1066299;4598
2031955;DE;1064332;236
2013000;DE;1057777;10865
4061030;FR;1057556;10345
2031955;DE;1056621;3488
2031955;DE;1053566;10865
4021019;FI;1049566;192
1022951;HR;1048531;2519
4012099;DE;1048004;10865
4061080;FR;1047160;4607
2031211;DK;1044183;5148
9011100;DE;1043824;251
2032955;FR;1037875;10865
3054100;HR;1032396;4566
4015039;DE;1027661;1261
9012100;DE;1026869;712
1022999;FR;1025950;6774
2011000;NL;1023224;6703
2031211;DE;1018807;3871
4069013;DE;1007250;4598
3074230;ES;1002268;2808
3056200;DE;994848;1008
3035410;ES;987541;3935
2031211;DE;982471;3155
1022951;HR;978468;5305
4015031;BE;977068;287
1022959;FR;974098;6709
1022999;FR;969472;9790
4015039;DE;967554;3126
1022959;FR;966826;5976
2031211;ES;963146;2665
4012011;AT;962993;6013
4015039;HU;960153;1312
1022999;FR;958463;5053
4012099;SK;957200;9932
2031211;DE;953649;1036
4061030;FR;951906;334
2012090;ES;945638;4289
2031211;DK;943055;5017
4061050;DE;942425;10865
2031211;DE;940776;10865
2031211;ES;939190;6402
1022999;FR;938314;3625
1022959;FR;936693;6736
2031955;ES;932229;5305
8021190;ES;932215;8686
9012100;ES;930044;1204
4061030;DE;928638;1482
2101131;ES;927264;4598
3061792;DK;926710;1861
4022191;BE;926824;8878
4039093;AT;926384;1164
2031110;DE;924418;8923
3074335;ES;922796;1272
4069089;AT;919836;6596
2031211;AT;918111;3155
2011000;NL;916820;1078
2011000;PL;913914;10865
4059010;NL;913257;3106
3053211;DE;912035;10865
4072100;PL;907854;7819
2071360;DE;905627;10864
8021290;ES;904635;8896
2031955;ES;898682;10865
3048700;ES;897920;3935
4011090;AT;894090;7667
4032091;GR;893598;7595
4061030;DE;891883;2514
3028410;GR;891252;10399
4089180;PL;890694;1108
4064090;DE;888364;4643
4032011;GR;887295;9545
8039010;FR;884572;5561
4061030;DE;884182;5886
2050020;PL;872887;1569
4059010;DK;871948;534
4069086;EE;871859;3504
2031211;ES;869452;602
4022118;FR;869209;343
4090000;HU;865635;158
4051019;CZ;861543;226
3021400;SE;861233;5460
2031211;BE;861051;4726
4069086;EE;859067;6652
8105000;GR;856262;581
8023200;DE;855176;4598
8021290;ES;854513;638
8029200;CZ;853556;10865
4039091;FR;849271;10306
4069092;FR;848688;10499
4051030;BE;848210;175
1022999;FR;847174;410
4069084;FR;846221;10345
4021019;DE;845410;9947
4069069;ES;845362;9076
4081981;NL;845108;4222
3048100;PL;842306;10865
2012050;PL;840829;3761
1022959;FR;840762;1558
2031211;BE;839106;2788
2012050;PL;833379;731
2032959;ES;830527;10345
7096010;ES;827993;10865
2013000;ES;827172;802
2013000;IE;825312;5886
8025100;LU;823379;682
4021019;FR;817954;10865
4061030;BE;817319;2986
4061050;DE;814635;388
3028530;HR;814086;8149
3021400;SE;813249;9775
1012100;IE;812226;10865
4089980;PL;810971;1108
4039091;AT;810596;1164
2012050;BE;810640;8382
2012090;ES;808612;6790
4061050;DE;805585;5140
2071310;PL;802953;1049
4032091;DE;802250;6376
4069089;DE;802232;6517
4069023;DE;791512;313
8025200;DE;790191;10865
2012020;PL;787100;5305
2031955;ES;781789;449
2031211;DE;777324;7093
9012100;FR;767442;251
4061050;DE;766431;5959
2012050;PL;765133;6790
4021019;FR;764386;4358
4061030;NL;764306;205
2031219;ES;763266;2654
1022959;FR;761477;833
3054100;PL;758822;7314
7102100;SE;758192;9256
3034290;ES;755695;3958
4012099;AT;755402;83
4021019;DE;754702;2836
9023000;PL;752837;303
3021400;SE;750477;3624
4029110;DE;742460;10865
4061050;NL;741561;207
3021400;SE;735947;6609
2072710;PL;735038;5017
2031211;ES;734138;9894
4051019;FR;732153;1159
4041048;HU;730872;3561
2071310;SK;730455;1049
4032091;DE;728172;7661
2031211;FR;725801;2788
2012050;FR;722820;978
4069086;DE;721550;10865
2031211;HU;720860;2788
4012091;CZ;720714;4598
4032011;GR;719135;7595
2012050;NL;717933;1419
8021290;ES;715651;8686
2031915;ES;715244;5017
2031955;DE;714884;366
1039219;NL;712887;9994
2031211;DK;712827;9314
4022118;BE;712564;192
4061050;FR;712218;8646
7095600;RO;712246;3591
2031955;ES;709662;2922
2031110;FR;707027;5604
7095600;RO;706446;5280
4061050;PL;704213;9270
4051030;AT;703322;4466
8107000;ES;703262;4255
6029030;ES;697512;808
8105000;BE;693870;582
4051019;BE;691296;2167
2031211;DK;686919;6402
2012050;FR;686630;5046
7108061;NL;683827;10865
4022118;DE;682390;6180
2013000;IE;679562;5305
8044000;NL;677029;9960
4021019;DE;674886;9121
2013000;PL;672451;5305
4032051;GR;668251;369
2031110;DE;666514;236
8025100;GR;665075;682
3021400;SE;661217;3035
3061799;DK;660201;1861
1022999;FR;660069;3952
8105000;GR;657025;7179
2012090;DE;655256;3207
4063010;BE;653401;9076
4061050;NL;652967;9270
2031211;DK;648179;348
4051030;FR;646820;213
1022999;FR;645889;4124
5040000;DE;645382;10865
2031219;ES;643580;7623
2013000;IE;643086;5203
3048100;SE;641485;10176
8093090;ES;638570;10640
3056200;DE;635229;2267
4021011;PT;635094;8838
4069089;DE;634454;4598
4012099;SI;634134;1920
9011100;DE;633406;279
1041030;RO;633079;8970
1022999;FR;631461;5359
6049099;CZ;628878;4598
2013000;IE;628921;431
2012050;FR;625477;5431
2031211;ES;625330;3971
2011000;FR;624602;5046
2012090;NL;624189;1078
3048100;DK;623642;1861
4022118;DE;620044;10865
3074335;ES;617881;10865
3022980;ES;614160;9143
4069032;GR;613174;9545
2012090;DE;612087;1078
3021400;FI;610456;5651
1022999;FR;609646;1326
3021400;SE;608510;8275
3054100;FR;607622;10671
2071350;DE;607419;10864
4069001;FR;605641;10345
1022959;FR;603952;4908
4012091;AT;602146;6013
2031955;DE;601734;1267
2031211;PL;600526;1589
2031955;DE;600437;3876
4069013;DE;600330;8046
2031211;ES;599218;7623
4049083;DE;598319;326
2031955;DE;595634;1908
4022118;FR;593925;512
4032091;GR;593710;9545
3061799;ES;593691;8382
3021400;SE;593560;10677
8044000;ES;591246;9960
2031211;ES;589949;2922
4039051;AT;589436;1164
3061799;ES;588668;8306
4061080;DE;588094;3736
4051019;NL;587996;3442
2101131;ES;587410;6081
4015031;DE;585569;134
3061799;ES;585258;10593
3034290;ES;583491;2121
4021019;NL;583295;512
4012099;DE;581756;9486
4061050;DK;581613;9049
4012099;SI;581302;2514
4061030;AT;580429;6380
1022999;FR;580119;8480
4051011;DK;578919;6960
3028950;FR;578261;1304
2031955;ES;578193;10345
2031955;NL;577321;9894
4011090;AT;576770;7501
2011000;NL;576307;8382
7019090;DE;575806;3298
2012050;ES;572873;10865
9012200;DE;571624;251
8093010;ES;570565;10640
2012090;FR;567637;560
2031211;ES;567310;10865
4011090;DE;566641;880
2012090;PL;566444;1419
7096010;ES;564405;5273
2031211;HU;562276;1589
9012100;NL;561907;4598
2013000;IE;560041;8382
3061210;NL;558827;4598
8052190;ES;558498;3049
2031211;DE;557735;3465
1022130;DE;554255;1760
4062000;FR;553885;334
2032955;ES;551900;3488
4069078;NL;551323;9577
4012011;AT;551049;9049
8021290;ES;550710;9531
4029910;AT;550804;4650
2032955;DE;549290;741
2031110;DE;547945;9837
4069099;DE;547467;4643
8052200;ES;546914;10865
4012099;DE;545207;783
4061030;DE;543516;5601
1022999;FR;541947;3603
2012050;PL;541838;5305
4022118;DE;541252;98
7109000;FR;541119;8848
4012099;DE;541080;8071
1022959;BE;540245;10865
4089980;ES;538400;1108
4032011;GR;534053;7746
4039071;FR;533800;10306
8105000;GR;531733;4615
4069013;DE;529277;134
2031915;DE;528264;4726
3021400;SE;526967;2912
2031955;ES;525639;8282
4061050;DE;525550;3379
2013000;DE;525300;8382
3048100;FR;524716;327
1022991;ES;524132;7486
4021019;FR;523703;511
3061500;IE;522131;10865
8021290;ES;519807;10068
4015039;DE;519560;7667
2101111;ES;519352;6517
2013000;PL;519028;431
2021000;PL;518497;8631
2063000;HU;517213;10174
3061500;DK;516464;677
4032091;AT;516296;2463
4011090;DE;515203;7667
4061050;DE;511968;7667
4061030;DE;509302;4422
8093010;ES;509254;382
2031915;DE;508728;7107
2041000;GR;507603;3173
2031211;ES;507211;6018
2031211;ES;506988;3488
4061050;AT;506318;9049
2031955;DE;505372;2635
7032000;ES;505274;9691
2050020;RO;504977;10468
2012020;PL;504789;3761
1022951;ES;504416;5609
2072610;HU;503476;5256
2031211;DE;502557;6402
4011090;FR;501697;7667
6029050;ES;501494;2143
4012091;AT;501229;9049
7095900;BG;497347;7086
3021400;SE;496737;904
4069023;DE;496552;134
4069023;DE;496514;8292
4069099;RO;496191;1315
1022999;FR;495033;3701
1039219;DE;495031;4023
1022999;FR;494935;8175
2012050;PL;494785;4289
4021019;DE;494536;7588
1022999;FR;493385;3811
2071320;DE;493392;10864
1022951;HR;493432;9837
3021400;SE;492101;5785
4051030;BE;490048;287
4051019;BE;487330;1159
4012091;DE;485737;10865
2031915;FR;485283;7623
7108095;BE;482874;5601
2012050;PL;482792;4894
2012090;ES;482612;5431
2012090;ES;482513;8923
4029110;DE;480007;6180
4051019;DE;479861;134
5040000;DK;479525;2880
7108069;RO;478839;6451
3048100;DK;477432;8948
4069078;DE;474828;4598
4069013;FR;473889;10345
4039091;AT;473859;9049
4051019;ES;472019;3993
4022118;NL;471372;4910
3021400;FI;470539;10568
2071370;DE;469664;10864
2031211;PL;468188;2788
1022999;FR;467896;6238
2013000;IE;466341;6703
4032093;FR;466187;8646
3047110;DK;464383;39
2012020;PL;463609;481
4015039;DE;462107;8999
2050020;RO;461090;9543
2011000;ES;460728;9441
2064900;ES;460241;4293
1041030;RO;458825;481
3061799;ES;458836;6703
2071310;RO;458446;10865
7141000;NL;458186;8878
3044100;SE;457554;10176
6031100;NL;457271;3248
4061050;FR;456997;10499
4012011;DE;456953;10865
7143000;NL;456309;8878
2011000;NL;455111;405
4012011;AT;453159;6517
2032955;DE;453049;3488
5051090;PL;451806;4161
7095600;ES;451509;5280
8132000;BG;450486;1081
6039000;NL;450282;3463
1022999;FR;449118;5978
2031211;DK;448385;4571
4069021;NL;448228;10345
2012090;NL;448044;8382
2012020;PL;448043;731
2031915;DE;447073;10865
8021290;DE;446843;4598
3036612;ES;446721;8046
4039091;FR;446218;8646
1022999;FR;445623;1496
8021290;ES;444308;8600
7019090;FR;443848;7217
3061799;ES;442252;7186
7019090;DE;441988;10652
5051010;PL;441111;4249
2032955;ES;440133;8282
2031211;NL;439381;2788
8051024;NL;438916;2968
6029091;NL;438787;10865
2031211;BE;437571;1589
4069063;RO;437425;40
2071190;GR;437388;64
2031955;ES;436944;3876
3074331;ES;436787;5601
4021019;DE;436599;4910
8039010;NL;436391;5135
7095600;BG;435946;5280
8119050;NL;434689;6055
8024100;PT;434120;581
1022949;FR;433849;379
7095100;PL;433595;10865
2031955;ES;433507;2654
4069021;DE;431006;10345
4051019;FR;430320;451
4063031;DE;429731;5658
4012099;SI;428177;9407
6029091;DE;428091;4598
3074335;ES;427519;6888
9011100;BE;427121;277
3053211;PT;426854;1008
2031955;ES;426819;3589
4051011;DE;426728;4941
2031955;DE;426467;4726
4069021;DE;425117;5886
4012099;ES;424685;3156
4021019;FR;423720;2729
7032000;ES;423159;6990
2011000;FR;423084;236
1039110;DK;422869;7541
1022999;FR;421880;1478
8042090;GR;420100;2174
4012099;DE;419751;7600
3048100;DK;419526;327
4069086;DE;419403;313
1022959;FR;419540;7562
3061799;ES;418383;2303
4069089;DE;417948;226
1022999;FR;416497;6171
4059010;BE;415757;770
1022951;SI;415284;9226
2012050;FR;415203;1980
1022999;FR;415059;4632
1022991;HU;413860;10865
3028530;MT;413278;2811
4059010;BE;412303;4910
8044000;NL;411698;10023
