product_code;country;nat_value;operator
9012100;FR;12861119;10612
4061050;DE;3881112;8999
3054100;PL;6503728;7036
4059010;ES;5664409;3993
4063031;BE;6108307;9076
4072100;PL;8198267;1108
3054100;LT;5062044;9282
3054100;LT;4415224;2641
3054100;PL;4481579;6313
2031211;DK;4403225;2788
4061050;ES;5347005;9076
2031211;DE;4321860;3876
4069074;NL;3908584;1151
3021400;DK;3734605;1304
4032093;DE;3725544;6376
3021400;SE;3939998;6313
4069001;CZ;3354526;9270
2031955;DE;2791455;5540
4061050;DE;3133405;101
2012050;FR;3074151;1419
2012050;FR;2729935;964
4051019;BE;2882801;175
8044000;NL;172514;6708
4012099;FR;2891151;10345
3021400;SE;3983274;5651
4015039;DE;2897356;2744
4061030;DE;3281562;134
4069001;CZ;2293559;226
4021019;FR;4106290;192
4012011;FR;2470798;1050
4021019;DE;2958131;192
2031211;DE;1535921;4726
2031211;DE;4986529;1589
1022999;FR;2293500;1558
2012050;FR;2637000;3207
4069076;DE;1695624;8292
4061030;DE;2011118;8292
2031110;BE;2020010;3155
8021290;ES;543665;8209
3021400;SE;2181575;4286
2031211;ES;1985078;1589
1022999;FR;1982826;1730
2071410;HU;2515456;1472
4061080;DE;71486;6517
4081981;PL;2079383;4222
9012100;DE;1986066;1204
2031211;DK;3917429;1589
1022999;FR;1932157;833
3054100;PL;1500975;9878
2012050;PL;2127338;1419
4012099;SI;1447457;7667
3021400;SE;1990529;8382
3021400;SE;1651998;5840
2031211;ES;1620405;2788
4069023;DE;56831;5966
4022118;DE;1639313;9947
4059010;BE;1761740;175
2012050;FR;1641787;3409
3028410;HR;1758173;8149
3061799;ES;1841376;6517
1051119;DE;1678323;8697
7102100;BE;1670010;9256
3021400;SE;1656057;5886
2031211;DE;3290544;2788
4021019;IE;1022251;192
1022999;FR;1389564;3269
4061050;DE;1675589;134
4049083;FR;2281842;326
2031211;DK;1589111;7093
4069084;FR;1573999;6567
4032099;DE;1616877;6376
4069001;DE;2103589;8999
4011010;FR;1469644;1050
3048100;SE;828424;8382
4022118;FR;1735485;192
1022991;SI;1660326;2519
4061050;DE;1631658;9076
3054100;FR;1464486;8909
2101981;DE;327248;4598
2031211;ES;1504257;3155
4022118;NL;253449;770
2031955;DE;1416809;8382
9012100;DE;1496825;251
4061050;DE;1793461;4598
4012099;DE;1495352;8999
4061030;DE;1458014;9256
4069073;CZ;1582601;226
4069086;LT;1428110;4895
4021019;FR;1318678;512
2031211;DK;1545917;1036
2031955;ES;1063324;5540
4069023;DE;318838;4598
4032011;GR;1417741;369
4061080;DE;248985;4598
4012091;FR;1370858;1050
4072100;RO;1114924;1108
3061799;ES;812408;4942
2031211;AT;284737;4726
4015039;DE;1350918;770
4061050;DE;1360775;7746
4063031;DE;1391628;4650
8021290;ES;163444;1168
4061030;BE;1084832;2514
2031211;NL;1001980;4726
4069069;PL;1390232;609
2012050;NL;1168433;8382
4069032;GR;3366466;6879
1022999;FR;1273318;4173
2031955;DE;547474;5203
1022999;FR;936111;6736
8025100;GR;1771249;7811
4061030;DE;3698476;4598
9012100;FR;502146;35
4061030;SI;1251515;9407
9012200;FR;1341757;10612
3021400;SE;1249549;9999
3021400;SE;1640459;10568
3073110;ES;1267691;19
3044100;PL;1314646;6313
4022118;DE;1362241;192
8025100;BE;1203269;995
2072740;PL;1377098;5017
2031211;DK;2002267;7623
3021400;SE;1152298;7763
3021400;SE;623386;10035
9012100;FR;1627119;1204
1022999;FR;817832;381
4012099;SI;916723;520
2031211;DK;1949797;8165
4069013;FR;1075333;2626
1022999;FR;863859;1029
1022999;FR;1042993;338
3021400;SE;1135594;3549
4089980;PL;1088009;6532
4059010;NL;981150;770
4081981;NL;1202459;1108
2031110;DE;1772212;5305
4049023;FR;1665935;326
2031955;DE;860237;236
4061030;FR;1148995;10345
2031955;DE;1084361;3488
4021019;FI;1253627;192
4061080;FR;474224;4607
2031211;DK;894403;5148
9011100;DE;1043786;251
3054100;HR;1049856;4566
4015039;DE;819990;1261
1022999;FR;408488;6774
2011000;NL;892303;6703
2031211;DE;1059674;3871
4069013;DE;1107454;4598
3056200;DE;307096;1008
2031211;DE;905653;3155
4015031;BE;977768;287
1022959;FR;743850;6709
